Size (360, 360, 360); Boundaries 20; Domains (3, 13, 1); Time 35.46 s; Iterations 333; Residual norm 9.807e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 14, 1); Time 37.06 s; Iterations 333; Residual norm 9.796e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 15, 1); Time 38.95 s; Iterations 333; Residual norm 9.795e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 16, 1); Time 40.52 s; Iterations 332; Residual norm 9.715e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 17, 1); Time 42.00 s; Iterations 333; Residual norm 9.804e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 18, 1); Time 44.41 s; Iterations 333; Residual norm 9.779e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 19, 1); Time 46.17 s; Iterations 333; Residual norm 9.851e-07 
Size (360, 360, 360); Boundaries 20; Domains (3, 20, 1); Time 47.68 s; Iterations 332; Residual norm 9.740e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 1, 1); Time 8.37 s; Iterations 220; Residual norm 9.703e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 2, 1); Time 15.73 s; Iterations 330; Residual norm 9.968e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 3, 1); Time 18.83 s; Iterations 332; Residual norm 9.712e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 4, 1); Time 20.44 s; Iterations 331; Residual norm 9.657e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 5, 1); Time 22.40 s; Iterations 332; Residual norm 9.714e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 6, 1); Time 24.90 s; Iterations 331; Residual norm 9.659e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 7, 1); Time 28.66 s; Iterations 332; Residual norm 9.714e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 8, 1); Time 29.41 s; Iterations 331; Residual norm 9.666e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 9, 1); Time 31.47 s; Iterations 332; Residual norm 9.720e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 10, 1); Time 33.54 s; Iterations 331; Residual norm 9.664e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 11, 1); Time 35.78 s; Iterations 332; Residual norm 9.722e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 12, 1); Time 38.82 s; Iterations 332; Residual norm 9.706e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 13, 1); Time 40.52 s; Iterations 332; Residual norm 9.733e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 14, 1); Time 42.63 s; Iterations 332; Residual norm 9.722e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 15, 1); Time 44.82 s; Iterations 332; Residual norm 9.721e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 16, 1); Time 46.67 s; Iterations 331; Residual norm 9.663e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 17, 1); Time 48.66 s; Iterations 332; Residual norm 9.729e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 18, 1); Time 51.00 s; Iterations 332; Residual norm 9.706e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 19, 1); Time 52.71 s; Iterations 332; Residual norm 9.774e-07 
Size (360, 360, 360); Boundaries 20; Domains (4, 20, 1); Time 54.31 s; Iterations 331; Residual norm 9.690e-07 
Size (360, 360, 360); Boundaries 20; Domains (5, 1, 1); Time 8.73 s; Iterations 222; Residual norm 9.589e-07 
Size (360, 360, 360); Boundaries 20; Domains (5, 2, 1); Time 16.67 s; Iterations 332; Residual norm 9.667e-07 
Size (360, 360, 360); Boundaries 20; Domains (5, 3, 1); Time 20.21 s; Iterations 333; Residual norm 9.789e-07 
Size (360, 360, 360); Boundaries 20; Domains (5, 4, 1); Time 21.98 s; Iterations 332; Residual norm 9.710e-07 
Size (360, 360, 360); Boundaries 20; Domains (5, 5, 1); Time 24.19 s; Iterations 333; Residual norm 9.791e-07 
Size (360, 360, 360); Boundaries 20; Domains (5, 6, 1); Time 26.88 s; Iterations 332; Residual norm 9.711e-07 
Size (360, 360, 360); Boundaries 20; Domains (5, 7, 1); Time 31.22 s; Iterations 333; Residual norm 9.791e-07 
Size (360, 360, 360); Boundaries 20; Domains (5, 8, 1); Time 32.08 s; Iterations 332; Residual norm 9.719e-07 
Size (360, 360, 360); Boundaries 20; Domains (5, 9, 1); Time 34.77 s; Iterations 333; Residual norm 9.797e-07 
Size (360, 360, 360); Boundaries 20; Domains (5, 10, 1); Time 37.39 s; Iterations 332; Residual norm 9.717e-07 
Size (360, 360, 360); Boundaries 20; Domains (5, 11, 1); Time 40.09 s; Iterations 333; Residual norm 9.799e-07 
Size (360, 360, 360); Boundaries 20; Domains (5, 12, 1); Time 43.21 s; Iterations 333; Residual norm 9.782e-07 
